text,L1,L2
"Messi scored a hat-trick for Inter Miami",Sports,Soccer
"Apple announced a new M-series chip",Tech,Hardware
"The CDC issued updated flu vaccine guidance",Health,PublicHealth
"LeBron James breaks scoring record in Lakers victory",Sports,Basketball
"Google releases new AI language model",Tech,AI
"New study shows benefits of Mediterranean diet",Health,Nutrition
"Champions League final draws record viewership",Sports,Soccer
"Microsoft Azure launches new cloud services",Tech,Cloud
"FDA approves new diabetes medication",Health,Medicine
"Tennis Grand Slam tournament begins next week",Sports,Tennis
"OpenAI ChatGPT usage surpasses 100 million users",Tech,AI
"Regular exercise reduces heart disease risk",Health,Fitness
"NBA playoff schedule announced for upcoming season",Sports,Basketball
"Intel releases new processor architecture",Tech,Hardware
"Mental health awareness week promotes wellness",Health,MentalHealth
"World Cup qualifying matches begin in Europe",Sports,Soccer
"Amazon Web Services expands data center capacity",Tech,Cloud
"Vitamin D deficiency linked to immune system problems",Health,Nutrition
"Olympic swimming records broken at world championships",Sports,Swimming
"Machine learning advances in natural language processing",Tech,AI
